Code/Key,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
EXAJ,NEUTRAL,0.0
FINANCIAL - K7,NEUTRAL,0.0
CHANGE OF OWNERSHIP,NEUTRAL,0.0
PLAC,NEUTRAL,0.0
SPLIT COMBO**,NEUTRAL,0.0
SALES CALL,NEUTRAL,0.0
CANCEL REPLACEMENT,NEUTRAL,0.0
INQ,NEUTRAL,0.0
REJECTS,NEUTRAL,0.0
RATE CHG,NEUTRAL,0.0
XLRT,NEUTRAL,0.0
XSAL,NEUTRAL,0.0
EMAIL,NEUTRAL,0.0
EQDS,NEUTRAL,0.0
MY BILLS,NEUTRAL,0.0
REGISTERED CUSTOMER,NEUTRAL,0.0
XSAA,NEUTRAL,0.0
ADAJ,NEUTRAL,0.0
EQCA,NEUTRAL,0.0
RATE CHANGE,NEUTRAL,0.0
INVOICE DISPUTE,NEUTRAL,0.0
TAX DEPT.,NEUTRAL,0.0
LATE CHARGE,NEUTRAL,0.0
XGEM,NEUTRAL,0.0
LMII,NEUTRAL,0.0
VALUE MAX,NEUTRAL,0.0
NO CONTACT (EOL),NEUTRAL,0.0
REFILL ASSISTANCE,NEUTRAL,0.0
DM UNAVAILABLE,NEUTRAL,0.0
F/C,NEUTRAL,0.0
PRIC,NEUTRAL,0.0
TERMS AND CONDITIONS,NEUTRAL,0.0
ISEND BUNDLE,NEUTRAL,0.0
PREMIUM REQUEST,NEUTRAL,0.0
NINV,NEUTRAL,0.0
EQTC,NEUTRAL,0.0
LCWV,NEUTRAL,0.0
INVESTIGATION,NEUTRAL,0.0
NEW WORK,NEUTRAL,0.0
CREDIT,NEUTRAL,0.0
CUSTOMER RELATIONS,NEUTRAL,0.0
QUICK DISCONNECT,NEUTRAL,0.0
PARTS ORDERED (PI),NEUTRAL,0.0
B7XX (PI),NEUTRAL,0.0
XCAG,NEUTRAL,0.0
BYOT,NEUTRAL,0.0
MISAPPLIED PAYMENT,NEUTRAL,0.0
LEASE RETENTION (IB),NEUTRAL,0.0
REQUEST PP FEE WAIVED,NEUTRAL,0.0
CANNOT ORDER SUPPLIES,NEUTRAL,0.0
METER - P700 - E,NEUTRAL,0.0
METER - ESTABLISHED,NEUTRAL,0.0
DISSATISFIED W/PITNEY BOWES,NEUTRAL,0.0
XFND,NEUTRAL,0.0
PICK-UP,NEUTRAL,0.0
NON-OPPORTUNITY,NEUTRAL,0.0
OUT OF BUSINESS,NEUTRAL,0.0
TRANSFERRED,NEUTRAL,0.0
PROPERTY TAX,NEUTRAL,0.0
RENTAL TO RENTAL SWAP,NEUTRAL,0.0
EARLY TERMINATION,NEUTRAL,0.0
TAM ACCOUNT - WORKING W/FIELD,NEUTRAL,0.0
CHANGE BILLING,NEUTRAL,0.0
SIT TONE,NEUTRAL,0.0
XAOA,NEUTRAL,0.0
BIAJ,NEUTRAL,0.0
BILLING,NEUTRAL,0.0
CONSIDER,NEUTRAL,0.0
ORDER SUPPLIES,NEUTRAL,0.0
XPBP,NEUTRAL,0.0
GUIDANCE - PI - K7,NEUTRAL,0.0
GUIDANCE,NEUTRAL,0.0
FOLLOW-UP (EMAAR),NEUTRAL,0.0
CODY,NEUTRAL,0.0
MISDIRECT (RENT),NEUTRAL,0.0
NACH,NEUTRAL,0.0
CODX,NEUTRAL,0.0
STTI,NEUTRAL,0.0
LEASING,NEUTRAL,0.0
LETTER/INVOICE,NEUTRAL,0.0
LT01,NEUTRAL,0.0
LT04,NEUTRAL,0.0
ERRORS-PI - K7,NEUTRAL,0.0
CCPP,NEUTRAL,0.0
SPDY,NEUTRAL,0.0
SERVICE REP TRANSACTION/CALL,NEUTRAL,0.0
ACCEPT,NEUTRAL,0.0
CUSTOMER UPDATE,NEUTRAL,0.0
PRODUCT SUPPORT (POST INSTALL),NEUTRAL,0.0
MA04,NEUTRAL,0.0
TCIQ,NEUTRAL,0.0
XPSA,NEUTRAL,0.0
REFUND REQUEST,NEUTRAL,0.0
NO OPP / SALES WKG,NEUTRAL,0.0
PARTS ORDERED - PI - K7,NEUTRAL,0.0
EXPLANATION OF LABOR INVOICE,NEUTRAL,0.0
CCPC,NEUTRAL,0.0
BUSINESS ESSENTIALS,NEUTRAL,0.0
BUY-OUT,NEUTRAL,0.0
DECLINE,NEUTRAL,0.0
MTCA,NEUTRAL,0.0
LCIQ,NEUTRAL,0.0
TAXI,NEUTRAL,0.0
NEED A COPY OF INVOICE,NEUTRAL,0.0
FOLLOW UP,NEUTRAL,0.0
DR LETTER,NEUTRAL,0.0
PARTS DISPUTE,NEUTRAL,0.0
POSTAL,NEUTRAL,0.0
NEVER,NEUTRAL,0.0
MIS-APPLIED PAYMENT,NEUTRAL,0.0
SALE,NEUTRAL,0.0
QUICK HANG UP,NEUTRAL,0.0
PURCHASE POWER BALANCE,NEUTRAL,0.0
EQUIPMENT SALE,NEUTRAL,0.0
PAYMENT,NEUTRAL,0.0
WRONG NUMBER,NEUTRAL,0.0
XCPO,NEUTRAL,0.0
CROSS-SELL,NEUTRAL,0.0
CCOP,NEUTRAL,0.0
INQUIRY,NEUTRAL,0.0
POTENTIAL CANCEL,NEUTRAL,0.0
ARAJ,NEUTRAL,0.0
MISDIRECT (EOL),NEUTRAL,0.0
BALANCE INQURIRY,NEUTRAL,0.0
MANUAL,NEUTRAL,0.0
XNMP,NEUTRAL,0.0
FLCT,NEUTRAL,0.0
SAVE (RENT),NEUTRAL,0.0
CHECKS,NEUTRAL,0.0
CUSTOMER FUNDS DEBIT,NEUTRAL,0.0
CC DISCREPENCY,NEUTRAL,0.0
NANS,NEUTRAL,0.0
VMAX,NEUTRAL,0.0
COD,NEUTRAL,0.0
ACTIVE LEASE,NEUTRAL,0.0
REFUSED (AL),NEUTRAL,0.0
COA,NEUTRAL,0.0
LEAD,NEUTRAL,0.0
LEAC,NEUTRAL,0.0
INCENTIVE,NEUTRAL,0.0
DECLINE - UNDO,NEUTRAL,0.0
PRICE TOO HIGH,NEUTRAL,0.0
TECHNICAL - PI - K7,NEUTRAL,0.0
MTMV,NEUTRAL,0.0
DOCUMENT RECONCILIATION,NEUTRAL,0.0
NO OPP,NEUTRAL,0.0
FOLLOW-UP (RENT),NEUTRAL,0.0
VM EXHAUST,NEUTRAL,0.0
EQUIPMENT NT INSTALLED,NEUTRAL,0.0
INCOMPLETE PITCH,NEUTRAL,0.0
POSITIVE RESULT,NEUTRAL,0.0
XEMA,NEUTRAL,0.0
INBOUND PHONE,NEUTRAL,0.0
CHBP,NEUTRAL,0.0
GUIDANCE - K7,NEUTRAL,0.0
COUPON,NEUTRAL,0.0
AUTO REFUND,NEUTRAL,0.0
UNLK,NEUTRAL,0.0
TRANSFER (WELCOME),NEUTRAL,0.0
BLIQ,NEUTRAL,0.0
PBP BOSS LINE - SALES REP,NEUTRAL,0.0
FDRC,NEUTRAL,0.0
TRANSFER - K7,NEUTRAL,0.0
EQUIPMENT INQUIRIES,NEUTRAL,0.0
XPPR,NEUTRAL,0.0
REMIND LET,NEUTRAL,0.0
SWAP,NEUTRAL,0.0
CIML,NEUTRAL,0.0
NO ANSWER,NEUTRAL,0.0
TRANSFER,NEUTRAL,0.0
CREDIT CARD,NEUTRAL,0.0
EXEMPTIONS,NEUTRAL,0.0
CONFIRM CUSTOMER SATISFACTION,NEUTRAL,0.0
FILE CORRECTION,NEUTRAL,0.0
OTHER - P700 - E,NEUTRAL,0.0
PRODUCT SUPPORT (OTHER),NEUTRAL,0.0
INVOICE,NEUTRAL,0.0
OTHO,NEUTRAL,0.0
SPANISH CALL,NEUTRAL,0.0
REQUEST FOR COPIES,NEUTRAL,0.0
INSPECTION,NEUTRAL,0.0
SLA/SOFTGUARD,NEUTRAL,0.0
WTOF,NEUTRAL,0.0
SCALE,NEUTRAL,0.0
QPN - CANCELLED,NEUTRAL,0.0
WELCOME CALL (OB),NEUTRAL,0.0
SENT E-MAIL LINK,NEUTRAL,0.0
TANDEM,NEUTRAL,0.0
FOLLOW-UP,NEUTRAL,0.0
RENTAL,NEUTRAL,0.0
RESPONSE,NEUTRAL,0.0
NAME CHANGE,NEUTRAL,0.0
TECHNICAL,NEUTRAL,0.0
NO OPP (RENT),NEUTRAL,0.0
NO INTEREST,NEUTRAL,0.0
REFUSED (EOL),NEUTRAL,0.0
POSTAGE,NEUTRAL,0.0
OUTBOUND,NEUTRAL,0.0
Y2KI,NEUTRAL,0.0
TRANSFER - P700 - E,NEUTRAL,0.0
RECONCILIATIONS,NEUTRAL,0.0
WEB POSTAGE,NEUTRAL,0.0
EMAC,NEUTRAL,0.0
LEASE,NEUTRAL,0.0
XESC,NEUTRAL,0.0
INTERNAL SUPPORT,NEUTRAL,0.0
OBTAIN COVERAGE,NEUTRAL,0.0
DIRECT PHONE CAMPAIGN,NEUTRAL,0.0
PRICING,NEUTRAL,0.0
PROPOSAL ISSUED,NEUTRAL,0.0
CANCELLATION,NEUTRAL,0.0
LBCH,NEUTRAL,0.0
TECHNICAL - K7,NEUTRAL,0.0
LOCK,NEUTRAL,0.0
FEE,NEUTRAL,0.0
LUYEN GETBACK,NEUTRAL,0.0
CPTP,NEUTRAL,0.0
BKRT,NEUTRAL,0.0
BOPT,NEUTRAL,0.0
SARE,NEUTRAL,0.0
SALES TAX,NEUTRAL,0.0
QPN - INVALID,NEUTRAL,0.0
RESET CHARGES,NEUTRAL,0.0
PAST DUE STATEMENT,NEUTRAL,0.0
CONTRACT ISSUED,NEUTRAL,0.0
WRITE OFF,NEUTRAL,0.0
BILLING ADJUSTMENT,NEUTRAL,0.0
IAJ,NEUTRAL,0.0
COLLECTION,NEUTRAL,0.0
PRE-PAID RESERVE BALANCE,NEUTRAL,0.0
PENDING,NEUTRAL,0.0
COPY OF CHECK,NEUTRAL,0.0
LMTC,NEUTRAL,0.0
COLLECTIONS,NEUTRAL,0.0
XR2P,NEUTRAL,0.0
ORDERED SUPPLIES,NEUTRAL,0.0
MISDIRECTED,NEUTRAL,0.0
PAYI,NEUTRAL,0.0
ERRORS1,NEUTRAL,0.0
CORRESPONDENCE,NEUTRAL,0.0
INVOICE SENT,NEUTRAL,0.0
XHOF,NEUTRAL,0.0
ANSWER MACHINE,NEUTRAL,0.0
OTHER,NEUTRAL,0.0
PBP / PP INQUIRIES,NEUTRAL,0.0
INVC,NEUTRAL,0.0
EXPLANATION,NEUTRAL,0.0
OWCH,NEUTRAL,0.0
QPN,NEUTRAL,0.0
EQPU,NEUTRAL,0.0
INTRO LETTER,NEUTRAL,0.0
PRE-PAID CITI-BANK BALANCE,NEUTRAL,0.0
69XX (PI),NEUTRAL,0.0
GENERAL PBP/PP INQUIRY,NEUTRAL,0.0
FREQUENCY - BILLING,NEUTRAL,0.0
PEP,NEUTRAL,0.0
RESOLUTION,NEUTRAL,0.0
SAVE,NEUTRAL,0.0
NBC REPORT,NEUTRAL,0.0
WAITING TO MIGRATE,NEUTRAL,0.0
BILLING INQUIRIES,NEUTRAL,0.0
XRTS,NEUTRAL,0.0
XPLC,NEUTRAL,0.0
PEB,NEUTRAL,0.0
SCALE/WP - ESTABLISHED,NEUTRAL,0.0
INBOUND,NEUTRAL,0.0
MTCA - UNDO,NEUTRAL,0.0
BILLING ADJUSTMENTS,NEUTRAL,0.0
LABOR,NEUTRAL,0.0
REF,NEUTRAL,0.0
MISDIRECT,NEUTRAL,0.0
DOWNLOADS,NEUTRAL,0.0
PBP TRANSACTION ASSISTANCE,NEUTRAL,0.0
METER - INITIAL,NEUTRAL,0.0
INSTALL - K7,NEUTRAL,0.0
PURCHASE POWER,NEUTRAL,0.0
ALREADY CONTACTED,NEUTRAL,0.0
ADDRESS,NEUTRAL,0.0
XSLS,NEUTRAL,0.0
PARTS ORDERED (I),NEUTRAL,0.0
RENTAL (BL),NEUTRAL,0.0
DNTC,NEUTRAL,0.0
SCALE/WP - INITIAL,NEUTRAL,0.0
ERRORS,NEUTRAL,0.0
REFUSED (MMRNT),NEUTRAL,0.0
ALREADY NET,NEUTRAL,0.0
RQAC,NEUTRAL,0.0
INVX,NEUTRAL,0.0
CUSTOMER RET,NEUTRAL,0.0
DOESNT WANT LONG TERM LEASE,NEUTRAL,0.0
REFD,NEUTRAL,0.0
INVT,NEUTRAL,0.0
LETTERS & INVOICES,NEUTRAL,0.0
PUOR,NEUTRAL,0.0
XNBO,NEUTRAL,0.0
ADDRESS CHANGE,NEUTRAL,0.0
REFL,NEUTRAL,0.0
POST INSTALL - K7,NEUTRAL,0.0
R2PP DISPUTE REPORT,NEUTRAL,0.0
