Code/Key,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
69-DSPL ERR-DOTS,NEUTRAL,0.0
TRANSFERRED CUST TO SOD,NEUTRAL,0.0
REISSUED PICKUP,NEUTRAL,0.0
METER ERRORS (PI),NEUTRAL,0.0
TRANSFERRED-ACCOUNT INTEGRITY,NEUTRAL,0.0
COMPLETE,NEUTRAL,0.0
OTHER ISSUE RESOLVED,NEUTRAL,0.0
NOT INT (MMRNT-RFSD),NEUTRAL,0.0
STRANGE CHARACTERS (PI),NEUTRAL,0.0
MDRT,NEUTRAL,0.0
1ST CALL RESOLUTION/NA,NEUTRAL,0.0
SLCOUP,NEUTRAL,0.0
1ST CALL RESOLUTION/NI,NEUTRAL,0.0
EXPLAINED SLA,NEUTRAL,0.0
RESEARCH IF INVOICE IS VALID,NEUTRAL,0.0
FILE CORRERCT,NEUTRAL,0.0
MARKETING PROGRAM CHANGE (A),NEUTRAL,0.0
CREDIT INVOICE(S),NEUTRAL,0.0
EXPLANATION OF LABOR INVOICE,NEUTRAL,0.0
INVOICE EXPLANATION,NEUTRAL,0.0
PRINT HEAD ORDERED (PI),NEUTRAL,0.0
BENEFITS(A),NEUTRAL,0.0
NEED A COPY OF INVOICE,NEUTRAL,0.0
PC/PH COMBO 9999 / E700  (PI),NEUTRAL,0.0
OPT OUT,NEUTRAL,0.0
VALUEMAX INQUIRY,NEUTRAL,0.0
REFILL OPS ASST/?S-PI - K7,NEUTRAL,0.0
PAYMENT,NEUTRAL,0.0
STATEMENT / REFILL HISTORY,NEUTRAL,0.0
INK CARTRIDGE ISSUE (I),NEUTRAL,0.0
INQUIRY,NEUTRAL,0.0
CHANGE FREQUENCY,NEUTRAL,0.0
TRANSFERRED TO STANDALONE,NEUTRAL,0.0
P CONTRACT (RENT-FOLLOWUP),NEUTRAL,0.0
WRONG # (EOL-NOCTCT),NEUTRAL,0.0
SYSTEM RETENTION,NEUTRAL,0.0
RESLOTTED METER,NEUTRAL,0.0
REPLACE MTR - PH NO STOCK (PI),NEUTRAL,0.0
MISSING RETURN COMPONENTS (PI),NEUTRAL,0.0
WAMO/TRACER (I),NEUTRAL,0.0
BLANK SCREEN (PI),NEUTRAL,0.0
OTHER ISSUE RSLVD (EOL-NOOP),NEUTRAL,0.0
NO ACTION TAKEN,NEUTRAL,0.0
INVALID USER NAME - P700-EM,NEUTRAL,0.0
CREDIT CARD UPDATE,NEUTRAL,0.0
LEFT MESSAGE,NEUTRAL,0.0
DATA DOWNLOAD ISSUE-PI - K7,NEUTRAL,0.0
AI A&A,NEUTRAL,0.0
30 DAY SR AUTO CLOSE,NEUTRAL,0.0
INCENTIVE,NEUTRAL,0.0
BUSINESS CLOSURE CANCELLED,NEUTRAL,0.0
CANCEL,NEUTRAL,0.0
PRINTER JAM (PI),NEUTRAL,0.0
CREDIT CARD POST COLLECTION,NEUTRAL,0.0
METER FUNCTION (PI),NEUTRAL,0.0
INSIDE SALES CANCELLED,NEUTRAL,0.0
ADDED BILLING DETAIL,NEUTRAL,0.0
PHONE LINE ISSUE - EM,NEUTRAL,0.0
$1000 LETTER,NEUTRAL,0.0
ADJUST INVOICE(S),NEUTRAL,0.0
PH - NUMERIC ERROR  (PI),NEUTRAL,0.0
PEP - WAIVE FEE,NEUTRAL,0.0
INVOICE REQUEST,NEUTRAL,0.0
GET ADDITIONAL CARDS,NEUTRAL,0.0
RENTAL CC REJECT,NEUTRAL,0.0
MISSING COMPONENTS (I),NEUTRAL,0.0
PH - POOR PRINT  (PI),NEUTRAL,0.0
METER ERROR 81 - PBP LINK (PI),NEUTRAL,0.0
EQUIPMENT - STOCK,NEUTRAL,0.0
PURCHASE CURRENT SCALE,NEUTRAL,0.0
SWAP,NEUTRAL,0.0
K700BOGO,NEUTRAL,0.0
CANCELED EQUIPMENT FROM PEB,NEUTRAL,0.0
NO ANSWER,NEUTRAL,0.0
INK TRAY FULL (PI),NEUTRAL,0.0
CREDIT CARD,NEUTRAL,0.0
INSTALL ASST (I),NEUTRAL,0.0
CONTRACT ISSUES,NEUTRAL,0.0
CUSTOMER CHECKING,NEUTRAL,0.0
ACCOUNT INFO UPDATE,NEUTRAL,0.0
ESCALATED POSTAGE,NEUTRAL,0.0
PRINTER JAM / 6403 (PI),NEUTRAL,0.0
ACTIVE LEASE (IB-C),NEUTRAL,0.0
METER RETURN ASSIST-PI - K7,NEUTRAL,0.0
MAILING,NEUTRAL,0.0
BOGO,NEUTRAL,0.0
BACK OUT SAVE,NEUTRAL,0.0
EXPLAIN T/C,NEUTRAL,0.0
SENT TO CUSTOMER,NEUTRAL,0.0
SCALE - ADD,NEUTRAL,0.0
RENTAL,NEUTRAL,0.0
LOCATE PAYMENT,NEUTRAL,0.0
METER REFUND FROM USPS,NEUTRAL,0.0
NAME CHANGE,NEUTRAL,0.0
NEVER RECEIVED SHIPMENT (RGI),NEUTRAL,0.0
PICKUP,NEUTRAL,0.0
POSTAGE,NEUTRAL,0.0
WEB POSTAGE,NEUTRAL,0.0
GENERAL REQUEST,NEUTRAL,0.0
POSTAL RELATED ?-PI - K7,NEUTRAL,0.0
K7 DLA FEATURES,NEUTRAL,0.0
EXPLAINED INVOICE,NEUTRAL,0.0
REFS,NEUTRAL,0.0
EXPLAINED RESET FEES,NEUTRAL,0.0
REFILL OPS ASST/QUESTIONS (I),NEUTRAL,0.0
LEFT MESSAGE - INTERNAL ISSUE,NEUTRAL,0.0
DISPUTE TAX - TRANS TAX DEPT,NEUTRAL,0.0
METER REPLACE ASST (PI),NEUTRAL,0.0
SHORTPAY,NEUTRAL,0.0
TRANSFER - SA RETENTION,NEUTRAL,0.0
PURCHASE POWER BUNDLE 2,NEUTRAL,0.0
GEM HOTLINE,NEUTRAL,0.0
PURCHASE POWER BUNDLE 3,NEUTRAL,0.0
EXHAUSTED,NEUTRAL,0.0
CONTRACT (EOL-SAVE),NEUTRAL,0.0
BILLING - RET,NEUTRAL,0.0
BILLING QUESTIONS,NEUTRAL,0.0
FUNDS TRANSFER,NEUTRAL,0.0
PRODUCT SUPPORT,NEUTRAL,0.0
VERIFY REMITTANCE RECEIVED (R),NEUTRAL,0.0
INSTALL/SETUP ASSISTANCE - IM,NEUTRAL,0.0
MY BILLS INQUIRY,NEUTRAL,0.0
BALANCE INQUIRY,NEUTRAL,0.0
OTHER ISSUE RSLVD,NEUTRAL,0.0
EXPLAINED PURCHASE POWER,NEUTRAL,0.0
ACCOUNT OWNER / SPECIAL HANDLE,NEUTRAL,0.0
PBP,NEUTRAL,0.0
WRITE OFF,NEUTRAL,0.0
ADV. CUST HOW TO REQ REFUND,NEUTRAL,0.0
BUYBACK DIRECT RETURN,NEUTRAL,0.0
WAIVE INVOICE(S),NEUTRAL,0.0
POSTAGE FOR CUSTOMER SAT,NEUTRAL,0.0
PRINT HEAD INSTALL ASST (PI),NEUTRAL,0.0
PENDED METER CANCELLATION,NEUTRAL,0.0
COLLECTIONS,NEUTRAL,0.0
METER LOCK INQUIRY,NEUTRAL,0.0
69-REFERRED TO SERVICE (PI),NEUTRAL,0.0
MISDIRECTED,NEUTRAL,0.0
NOT INTERESTED,NEUTRAL,0.0
CALL FOR RETURN OF EQUIPMENT,NEUTRAL,0.0
CCL,NEUTRAL,0.0
KEYBOARD ISSUES - EM,NEUTRAL,0.0
PH - ASIC  (I),NEUTRAL,0.0
EXPLANATION,NEUTRAL,0.0
WELCOME KIT,NEUTRAL,0.0
FREQUENCY - BILLING,NEUTRAL,0.0
LOST/STOLEN - OTHER,NEUTRAL,0.0
WAIVE POSTAL PP FEES,NEUTRAL,0.0
INK CART 0 BLINK=LOW INK-PI-K7,NEUTRAL,0.0
XRTS,NEUTRAL,0.0
BILLING INQUIRY,NEUTRAL,0.0
FUNDS TRANSFER REQUEST (P),NEUTRAL,0.0
PBP ACCT # MISSING (I),NEUTRAL,0.0
OPT IN,NEUTRAL,0.0
SEND A & A,NEUTRAL,0.0
NEVER REACHED,NEUTRAL,0.0
TRANSFERRED - SUPPLY LINE,NEUTRAL,0.0
DISTRICT SERVICE,NEUTRAL,0.0
TRANSFERRED - CPO,NEUTRAL,0.0
OPT OUT PP,NEUTRAL,0.0
PRE-OPT OUT,NEUTRAL,0.0
PURCHASE POWER,NEUTRAL,0.0
NEVER REACHED DM,NEUTRAL,0.0
WAIVED LATE CHARGE,NEUTRAL,0.0
BILLING QUESTION (PI),NEUTRAL,0.0
LEFT MSG,NEUTRAL,0.0
REQUEST STATEMENT REPRINT,NEUTRAL,0.0
REFILL FAILED - CHK ACCT (I),NEUTRAL,0.0
ADDRESS CHANGE,NEUTRAL,0.0
DOWNLOAD E7XX,NEUTRAL,0.0
DISPLAY - ODD CHARACTERS (PI),NEUTRAL,0.0
STANDALONE RET (RENT-MISDIR),NEUTRAL,0.0
TRANSFERRED FUNDS,NEUTRAL,0.0
SOLUTIONS,NEUTRAL,0.0
EXHAUSTED (EMAAR-FOLLOWUP),NEUTRAL,0.0
FILE CORRECT-OVER MY LIMIT,NEUTRAL,0.0
SUPERVISOR,NEUTRAL,0.0
AI NAME CHANGE,NEUTRAL,0.0
MISSING ACCOUNT NUMBER (R),NEUTRAL,0.0
EXEMPTION INQUIRY,NEUTRAL,0.0
PRINT QUALITY POOR-PI - K7,NEUTRAL,0.0
SEND T & C,NEUTRAL,0.0
CEM RESPONSE,NEUTRAL,0.0
EXTEND FREE TRIAL SWAP,NEUTRAL,0.0
REPLACEMENT TRACE (PI),NEUTRAL,0.0
07K7MBOGO,NEUTRAL,0.0
POSTAGE REFILL ISSUE - IM,NEUTRAL,0.0
VERIFY REMITTANCE RECEIVED (P),NEUTRAL,0.0
I508,NEUTRAL,0.0
ACQUISITIONS,NEUTRAL,0.0
EQUIPMENT DESCRIPTION,NEUTRAL,0.0
TAM/SWAP,NEUTRAL,0.0
CUSTOMERS PAYMENT,NEUTRAL,0.0
SETTLEMENT SENT (AL-RFSD),NEUTRAL,0.0
INK FOR CUSTOMER SATISFACTION,NEUTRAL,0.0
N/A,NEUTRAL,0.0
UPDATE SWAP ADDRESS,NEUTRAL,0.0
PROCESSED SOFTGUARD CANCEL,NEUTRAL,0.0
TC SENT,NEUTRAL,0.0
PEP WAIVE FEE,NEUTRAL,0.0
CROSS-SELL OFFER REJECTED,NEUTRAL,0.0
EXPLAINED INITIAL INVOICE,NEUTRAL,0.0
90 DAYS PAST DUE CANCELLED,NEUTRAL,0.0
TRANSFERRED - RESO,NEUTRAL,0.0
INVOICE COPIES,NEUTRAL,0.0
COMMUNICATION PROBLEMS (PI),NEUTRAL,0.0
UPDATE CREDIT CARD,NEUTRAL,0.0
XRET,NEUTRAL,0.0
SCALE - ZERO DOLLAR RENTAL,NEUTRAL,0.0
LEFT MESSAGE TO CALL,NEUTRAL,0.0
PHONE LINE ISSUE - K7,NEUTRAL,0.0
METER ERROR NUMERIC (PI),NEUTRAL,0.0
CUSTOMER PROVIDE DOCUMENTATION,NEUTRAL,0.0
SPEED PAY,NEUTRAL,0.0
CANNOT REACH DATA CENTER (PI),NEUTRAL,0.0
EXTEND FREE TRIAL,NEUTRAL,0.0
EQUIPMENT,NEUTRAL,0.0
PBP FUNDS ISSUE (PI),NEUTRAL,0.0
ALREADY SAVED,NEUTRAL,0.0
CHANGE OF OWNERSHIP,NEUTRAL,0.0
PBP FUNDS ISSUE - K7,NEUTRAL,0.0
TRANSFERRED - RESO - LCR,NEUTRAL,0.0
CANCEL/CREDIT PP FEES,NEUTRAL,0.0
CANCEL REPLACEMENT,NEUTRAL,0.0
RENTAL (IB-C),NEUTRAL,0.0
EMA,NEUTRAL,0.0
REINSTATED METER,NEUTRAL,0.0
PREVENT LEAKING INK ISSUE,NEUTRAL,0.0
INQUIRIES ON MAILPIECE,NEUTRAL,0.0
STOLEN OR DESTROYED,NEUTRAL,0.0
INVENTORY EXPLANATION,NEUTRAL,0.0
METER FUNCTION-PI - K7,NEUTRAL,0.0
EXPLAINED FREQUENCY/BILLING,NEUTRAL,0.0
PURCHASE POWER BUNDLE,NEUTRAL,0.0
NONE,NEUTRAL,0.0
NO LONGER A PBI CUSTOMER,NEUTRAL,0.0
LATE CHARGE,NEUTRAL,0.0
EOL (OB-A),NEUTRAL,0.0
FIRST CALL RESOLUTION/NI,NEUTRAL,0.0
REFILL ASSISTANCE,NEUTRAL,0.0
ERROR SHOWN ON MANUAL MTR,NEUTRAL,0.0
EXPLAINED VALUE MAX,NEUTRAL,0.0
CHECK NOT FOUND,NEUTRAL,0.0
UPDATE BILL TO ADDRESS,NEUTRAL,0.0
DIALING PREFIX PROBLEM (PI),NEUTRAL,0.0
B7-REFERRED TO SERVICE (PI),NEUTRAL,0.0
PREMIUM REQUEST,NEUTRAL,0.0
LOST PROCESSED,NEUTRAL,0.0
METER UNLOCK,NEUTRAL,0.0
MULTIPLE OFFER,NEUTRAL,0.0
INVESTIGATION,NEUTRAL,0.0
WAIVE PBP RESET(S),NEUTRAL,0.0
EXPLAINED T & C,NEUTRAL,0.0
POSTAGE REFILL ISSUE - EM,NEUTRAL,0.0
EXPLAINED TRADE-UP,NEUTRAL,0.0
CREDIT,NEUTRAL,0.0
POSTAGE BY PHONE,NEUTRAL,0.0
STRATEGIC / NATIONAL ACCOUNTS,NEUTRAL,0.0
LOADED SOFTGUARD,NEUTRAL,0.0
JAM - PLATEN/PAPER (I),NEUTRAL,0.0
ORDER COUPONS,NEUTRAL,0.0
E7XXBOGO,NEUTRAL,0.0
PROCESSED CREDIT CARD,NEUTRAL,0.0
REQUEST PP FEE WAIVED,NEUTRAL,0.0
EMA - IB (C),NEUTRAL,0.0
RENTAL (OB-C),NEUTRAL,0.0
SALES FOLLOW-UP,NEUTRAL,0.0
ALREADY DOWNLOADED,NEUTRAL,0.0
SETTLEMENT REQSTED (AL-REFSD),NEUTRAL,0.0
PAYMENT RESEARCH,NEUTRAL,0.0
EXPLAIN HOW TO READ STATEMNT,NEUTRAL,0.0
CUSTOMER SATISFACTION,NEUTRAL,0.0
BILLINGISSUERSLVD,NEUTRAL,0.0
PBP QUESTIONS,NEUTRAL,0.0
R2PP,NEUTRAL,0.0
UPGRADE TO SYSTEM - PROPOSAL,NEUTRAL,0.0
NO CONTACT REQUIRED,NEUTRAL,0.0
CONTRACT (RENT-SAVE),NEUTRAL,0.0
BILLING,NEUTRAL,0.0
DISPUTE FLAG REMOVED,NEUTRAL,0.0
GUIDANCE,NEUTRAL,0.0
FEE WAIVER,NEUTRAL,0.0
2ND REQUEST MP CHANGE,NEUTRAL,0.0
STANDALONE RETENTION,NEUTRAL,0.0
INK CARTRIDGE ISSUE (PI),NEUTRAL,0.0
ADD VALUE,NEUTRAL,0.0
EOL (IB-C),NEUTRAL,0.0
CHECK SEARCH (P),NEUTRAL,0.0
PSD ERRORS-PI - K7,NEUTRAL,0.0
PAYMENT MIS-POSTED (R),NEUTRAL,0.0
MP CHANGE,NEUTRAL,0.0
EXPLAINED SALES TAX,NEUTRAL,0.0
ACCEPT,NEUTRAL,0.0
ONE TIME CREDIT CARD PAYMENT,NEUTRAL,0.0
2ND REQUEST FOR PICK UP,NEUTRAL,0.0
UPDATE ADDRESS IN SAP,NEUTRAL,0.0
OTHER OUTBOUND,NEUTRAL,0.0
UPDATE - CONTACT APPLET,NEUTRAL,0.0
RQIN,NEUTRAL,0.0
2ND REQUEST,NEUTRAL,0.0
CHECK SEARCH (R),NEUTRAL,0.0
BUSINESS ESSENTIALS,NEUTRAL,0.0
RENTAL (OB-A),NEUTRAL,0.0
DECLINE,NEUTRAL,0.0
SWAP/DOWNGRADE (A),NEUTRAL,0.0
CANCELED AND REBILL INVOICE,NEUTRAL,0.0
MTCA,NEUTRAL,0.0
LOADED SLA / SOFTGUARD,NEUTRAL,0.0
EXPLAINED PROCESS,NEUTRAL,0.0
REQUIRIES ADDITIONAL CONTACT,NEUTRAL,0.0
ALREADY SAVED-FU?,NEUTRAL,0.0
RENT NEW SCALE,NEUTRAL,0.0
08K7MBOGO,NEUTRAL,0.0
CXL-PU,NEUTRAL,0.0
MIS-APPLIED PAYMENT,NEUTRAL,0.0
PURCHASE POWER BALANCE,NEUTRAL,0.0
RENEWAL COMPLACENT,NEUTRAL,0.0
XCPO,NEUTRAL,0.0
EXHAUST - CONTRACT SENT,NEUTRAL,0.0
BENEFITS (A),NEUTRAL,0.0
DOWNGRADE,NEUTRAL,0.0
UPDATED COW,NEUTRAL,0.0
RENT CURRENT SCALE,NEUTRAL,0.0
69-DT WONT CHG ORD DATER (PI),NEUTRAL,0.0
69-ORD MANUALS,NEUTRAL,0.0
DECIDED NOT TO CALL,NEUTRAL,0.0
DOWNLOAD ASSIST (PI),NEUTRAL,0.0
CHANGED FREQUENCY/BILLING,NEUTRAL,0.0
USER GUIDANCE - ES,NEUTRAL,0.0
BANKRUPTCY,NEUTRAL,0.0
BATTERY LOW PROBLEM (PG),NEUTRAL,0.0
LEFT MESSAGE TO RESET,NEUTRAL,0.0
CREDIT S&H CHARGES,NEUTRAL,0.0
DATA DOWNLOAD ISSUE - ES,NEUTRAL,0.0
USER GUIDANCE - EM,NEUTRAL,0.0
PC-BLANK SCR / NO FLICKER (PI),NEUTRAL,0.0
SALES LEAD (PS),NEUTRAL,0.0
DOWNLOAD K7XX,NEUTRAL,0.0
NO CONTACT/COMPLETE (ER),NEUTRAL,0.0
P CONTRACT,NEUTRAL,0.0
COA,NEUTRAL,0.0
SENT TO LOCKBOX,NEUTRAL,0.0
SENT INVOICE,NEUTRAL,0.0
ESCALATED LABEL,NEUTRAL,0.0
PENDING INVESTIGATION,NEUTRAL,0.0
INQUIRIES ON MAIL PIECE,NEUTRAL,0.0
DATA DOWNLOAD ISSUE - EM,NEUTRAL,0.0
EXPLAINED STATEMENT,NEUTRAL,0.0
MACH/VM/LEFTMSG,NEUTRAL,0.0
IVR,NEUTRAL,0.0
SUPPLY QUESTIONS,NEUTRAL,0.0
EOL FIELD REP,NEUTRAL,0.0
10K7BOGO,NEUTRAL,0.0
08E7BOGO,NEUTRAL,0.0
EOL DIRECT RETURN,NEUTRAL,0.0
OPT OUT CC,NEUTRAL,0.0
SEND LEASE COPY,NEUTRAL,0.0
METER FUNCTION (I),NEUTRAL,0.0
EXPLAINED SOFTGUARD,NEUTRAL,0.0
CONTRACT,NEUTRAL,0.0
STOP INVOICE,NEUTRAL,0.0
INSTALLATION FOLLOW UP,NEUTRAL,0.0
REFILL OPS ASST/QUESTIONS (PI),NEUTRAL,0.0
2 REQUEST MP CHANGE,NEUTRAL,0.0
INSTALL ASST-PI - K7,NEUTRAL,0.0
OPT OUT BC,NEUTRAL,0.0
PROMISE TO PAY,NEUTRAL,0.0
METER AD,NEUTRAL,0.0
POSTAL FUND QUESTION-P700-EO,NEUTRAL,0.0
TRANSACTION SUPPORT NEEDED,NEUTRAL,0.0
CUSTOMER SATISFACTION (PI),NEUTRAL,0.0
20 SCREEN TRANSFERRED,NEUTRAL,0.0
LOCK CODE ASSISTANCE (PI),NEUTRAL,0.0
EXPLAINED PRICING,NEUTRAL,0.0
07E7BOGO,NEUTRAL,0.0
ACCOUNT INFORMATION UPDATE,NEUTRAL,0.0
AIO INK REQUEST,NEUTRAL,0.0
PROCESS CANCELLATION,NEUTRAL,0.0
SWAP/UPGRADE (A),NEUTRAL,0.0
LOST STOLEN,NEUTRAL,0.0
BATTERY LOW PROBLEM (PI),NEUTRAL,0.0
FILE CORRECTION,NEUTRAL,0.0
1ST ATTEMPT,NEUTRAL,0.0
CHARGE IS VALID,NEUTRAL,0.0
MULTIPLE OFFERS,NEUTRAL,0.0
METER LOCKED,NEUTRAL,0.0
REFILL FAILED - CHK ACCT (PI),NEUTRAL,0.0
METER SMOKING / BLANK (PI),NEUTRAL,0.0
GMS,NEUTRAL,0.0
CHANGE MARKET PROMO,NEUTRAL,0.0
CUSTOMER UPDATE-RENTAL(BL),NEUTRAL,0.0
SUPPORT CENTER,NEUTRAL,0.0
INVOICE,NEUTRAL,0.0
CANCEL CREDIT CARD,NEUTRAL,0.0
PRINTING ISSUE - EM,NEUTRAL,0.0
INSPECTION,NEUTRAL,0.0
ERROR SHOWN ON MODEM METER,NEUTRAL,0.0
08K7BOGO,NEUTRAL,0.0
REPLACEMENT ASSISTANCE - EM,NEUTRAL,0.0
07K7BOGO,NEUTRAL,0.0
WW SALES,NEUTRAL,0.0
PBP FUNDS ISSUE-PI - K7,NEUTRAL,0.0
ADD VALUE - PROPOSAL,NEUTRAL,0.0
TECHNICAL HELP,NEUTRAL,0.0
TANDEM,NEUTRAL,0.0
NO FUNDS- CREDIT INCREASE,NEUTRAL,0.0
TAX INQUIRY,NEUTRAL,0.0
POWER SUPPLY PROBLEM (PI),NEUTRAL,0.0
ADD COD,NEUTRAL,0.0
ZIP CODE CHANGE (PI),NEUTRAL,0.0
MM RENTAL,NEUTRAL,0.0
IVR/WEB ASSISTANCE NEEDED (R),NEUTRAL,0.0
EOL SELF RETURN,NEUTRAL,0.0
NO PAYMENT RECEIVED,NEUTRAL,0.0
ENTERED INSURANCE INFORMATION,NEUTRAL,0.0
ALREADYSAVED-F/U?,NEUTRAL,0.0
PRICING,NEUTRAL,0.0
VERIFY REMITTANCE RECEIVED (C),NEUTRAL,0.0
PROCESSED EQUIP CANCEL,NEUTRAL,0.0
NO FUNDS - OPEN PP,NEUTRAL,0.0
BUY 1,NEUTRAL,0.0
ALREADYSAVED-F/U? (RENT-NOOP),NEUTRAL,0.0
POWER INLET CONNECT LOOSE (PI),NEUTRAL,0.0
WRITE OFF INVOICE,NEUTRAL,0.0
RESET CHARGES,NEUTRAL,0.0
PROCESSED CHECK BY PHONE,NEUTRAL,0.0
METER INSTRUCTIONS NEEDED (I),NEUTRAL,0.0
RQCP,NEUTRAL,0.0
INQUIRE ON INVOICE,NEUTRAL,0.0
BILLING QUESTION - P700 - EO,NEUTRAL,0.0
UPGRADE TO SYSTEM,NEUTRAL,0.0
POSTAL RELATED QUESTION (PI),NEUTRAL,0.0
DIDNT UNDERSTAND T&C,NEUTRAL,0.0
SALES LEAD,NEUTRAL,0.0
EXPLAINED PROPERTY TAX,NEUTRAL,0.0
NO CONTACT - WRONG PHONE NO,NEUTRAL,0.0
PERSONAL WORKQUEUE/PR,NEUTRAL,0.0
10K7MBOGO,NEUTRAL,0.0
GENERAL SALES,NEUTRAL,0.0
BLACK LINE/BOXES (PI),NEUTRAL,0.0
CORRESPONDENCE,NEUTRAL,0.0
ANSWER MACHINE,NEUTRAL,0.0
OTHER,NEUTRAL,0.0
EXPLAIN FEES,NEUTRAL,0.0
PLACED ORDER,NEUTRAL,0.0
FUNDS REMOVAL PROCESS (PI),NEUTRAL,0.0
IN STOCK OR ON NEW CAN,NEUTRAL,0.0
CANT REACH DATA CENTER (PI),NEUTRAL,0.0
ADD IN SAVE,NEUTRAL,0.0
ZIP CODE CHANGE-PI - K7,NEUTRAL,0.0
10E7BOGO,NEUTRAL,0.0
BACK OUT CANCEL,NEUTRAL,0.0
PROCESSED REPLACEMENT,NEUTRAL,0.0
CHECK IN THE MAIL,NEUTRAL,0.0
EXPLAINED RESET CHARGES,NEUTRAL,0.0
UPDATE TYPE SALE,NEUTRAL,0.0
K7M0BOGO,NEUTRAL,0.0
TRANSFERRED - RETENTION,NEUTRAL,0.0
SMS SR LOADED,NEUTRAL,0.0
WAIVED RESET FEES,NEUTRAL,0.0
PEP - CANCEL/REBILL,NEUTRAL,0.0
REINSTATE,NEUTRAL,0.0
UPDATE INSTALL ADDRESS,NEUTRAL,0.0
