Code/Key,Natural Language Description,Desirability(0=horrible;5=fantastic),Monetary value(positive or negative)
A/R WRITE-OFFS - APPLETON,singular,NEUTRAL,0.0
STATE LEASING,singular,NEUTRAL,0.0
STRATEGIC MAILING,singular,NEUTRAL,0.0
1 DEFAULT POSITION,singular,NEUTRAL,0.0
NMPO INVESTIGATION PENDING,singular,NEUTRAL,0.0
CSSLEASE MAIL BOX,singular,NEUTRAL,0.0
INK/MM/BBP AGENT,singular,NEUTRAL,0.0
PRINTHEAD SPECIALIST,singular,NEUTRAL,0.0
LEASING - EWA APPLETON,singular,NEUTRAL,0.0
CREDIT CARD,singular,NEUTRAL,0.0
BILLING ADJUSTMENT AGENT,singular,NEUTRAL,0.0
R2PP FOLLOW UP,singular,NEUTRAL,0.0
METER LOCK/UNLOCK,singular,NEUTRAL,0.0
DC RETURNS,singular,NEUTRAL,0.0
3-VQZ5KU,singular,NEUTRAL,0.0
2-1GGX,singular,NEUTRAL,0.0
2-BLUE PENDING,singular,NEUTRAL,0.0
PB GMS CUSTOMER CARE BILLING,singular,NEUTRAL,0.0
NMPO,singular,NEUTRAL,0.0
2-1GGZ,singular,NEUTRAL,0.0
MSM FREE POSTAGE,singular,NEUTRAL,0.0
RIGHTSIZE CANCELS,singular,NEUTRAL,0.0
LEASING - BILLING CHANGES APPLETON,singular,NEUTRAL,0.0
CANCEL SUPPORT EMAIL,singular,NEUTRAL,0.0
A/R FILE CORRECTIONS - NORFOLK,singular,NEUTRAL,0.0
DISCOUNT REVIEW,singular,NEUTRAL,0.0
2-1GH1,singular,NEUTRAL,0.0
COLLECTION AGENCY STANDALONE - SPOKANE,singular,NEUTRAL,0.0
QPN ACTIVE,singular,NEUTRAL,0.0
WAMO/TRACER AGENT,singular,NEUTRAL,0.0
2-1GH3,singular,NEUTRAL,0.0
2-GOLD PENDING,singular,NEUTRAL,0.0
TANDEM,singular,NEUTRAL,0.0
CREDIT CARD FAILURES,singular,NEUTRAL,0.0
PERSONAL WORKQUEUE,singular,NEUTRAL,0.0
MARKETING PROGRAM REPORT,singular,NEUTRAL,0.0
CASH REJECTS -- LEASING,singular,NEUTRAL,0.0
DON CHURCH EMAILS,singular,NEUTRAL,0.0
METER PICKUP AGENT,singular,NEUTRAL,0.0
MSM FOLLOW UP,singular,NEUTRAL,0.0
CREDIT CARD SETUP-NORFOLK,singular,NEUTRAL,0.0
CHANGE OF OWNER-RENTAL,singular,NEUTRAL,0.0
LEASING FOLLOW UP,singular,NEUTRAL,0.0
PBP NONPHONE EMAIL,singular,NEUTRAL,0.0
CSS - A&A,singular,NEUTRAL,0.0
SUPERVISOR COACH OPP,singular,NEUTRAL,0.0
NON-PAYMENT AGENT,singular,NEUTRAL,0.0
LEASE MAINTENANCE FOLLOW UP,singular,NEUTRAL,0.0
MARKETING PROGRAM CHANGE AGENT,singular,NEUTRAL,0.0
RETENTION - PENDING SAVE - AGENT,singular,NEUTRAL,0.0
REPLACEMENTS AGENT,singular,NEUTRAL,0.0
TAX DEPT RESPONSE REQUIRED,singular,NEUTRAL,0.0
CANCEL VALIDATION - GOVT LEASE,singular,NEUTRAL,0.0
LTR-LEASES,singular,NEUTRAL,0.0
TSYS CYCLE CHANGE,singular,NEUTRAL,0.0
Z - SETTLEMENT REQUEST,singular,NEUTRAL,0.0
A/R FILE CORRECTIONS - APPLETON,singular,NEUTRAL,0.0
NMPO METER RETURN PENDING,singular,NEUTRAL,0.0
CSS - ADDRESS CHANGE,singular,NEUTRAL,0.0
1ST CALL RESOLUTION,singular,NEUTRAL,0.0
BILLING RESOLUTION EMAIL,singular,NEUTRAL,0.0
X PLACEMENT GEM $ / EQUIP APPLETON,singular,NEUTRAL,0.0
1000 LETTER AGENT,singular,NEUTRAL,0.0
CREDIT CARD FOLLOW UP,singular,NEUTRAL,0.0
PB GMS POSTAGE BY PHONE SUPPORT,singular,NEUTRAL,0.0
MSM SUPERVISOR APPROVAL,singular,NEUTRAL,0.0
MSD,singular,NEUTRAL,0.0
TSYS LAINEA,singular,NEUTRAL,0.0
BOSS LINE-APPLETON,singular,NEUTRAL,0.0
CREDITS,singular,NEUTRAL,0.0
CSS - TEAM CUSTOMER,singular,NEUTRAL,0.0
LEASING - MISC RESOLUTION APPLETON,singular,NEUTRAL,0.0
CROSS-SELL AGENT,singular,NEUTRAL,0.0
R2PP,singular,NEUTRAL,0.0
SL SOLUTIONS,singular,NEUTRAL,0.0
INVOICE REQUESTS AGENT,singular,NEUTRAL,0.0
CSS - COW,singular,NEUTRAL,0.0
QPN BACKLOG,singular,NEUTRAL,0.0
FAILED FAX AGENT,singular,NEUTRAL,0.0
CSS - EQUIPMENT WITHDRAWAL,singular,NEUTRAL,0.0
CREDIT CARD CANCEL-NORFOLK,singular,NEUTRAL,0.0
ERROR 81 AGENT,singular,NEUTRAL,0.0
LABOR AGENT,singular,NEUTRAL,0.0
2-1RW1,singular,NEUTRAL,0.0
3-13YM3X5,singular,NEUTRAL,0.0
AI PHONE CALL,singular,NEUTRAL,0.0
STRATEGIC LEASING,singular,NEUTRAL,0.0
SITEL LEASING RESO,singular,NEUTRAL,0.0
3-LR0U5D,singular,NEUTRAL,0.0
WAREHOUSE RECONCILIATION,singular,NEUTRAL,0.0
CSS - INBOUND CALL,singular,NEUTRAL,0.0
LTR-ACTIVELEASES,singular,NEUTRAL,0.0
APLAIFAX-PEND,singular,NEUTRAL,0.0
SBSRET,singular,NEUTRAL,0.0
CSS - COA,singular,NEUTRAL,0.0
STATE MAILING,singular,NEUTRAL,0.0
LEASING - IMMEDIATE PICK UP APPLETON,singular,NEUTRAL,0.0
BILLING ADJUSTMENTS AGENT,singular,NEUTRAL,0.0
SITEL-ACCOUNT RESOLUTION FOLLOW UP,singular,NEUTRAL,0.0
LEASING-508 APPLETON,singular,NEUTRAL,0.0
A/R REFUNDS - APPLETON,singular,NEUTRAL,0.0
Y01,singular,NEUTRAL,0.0
COLLECTION AGENCY STANDALONE - APPLETON,singular,NEUTRAL,0.0
COLLECTION AGENCY SYSTEM - SPOKANE,singular,NEUTRAL,0.0
RESO-PINK,singular,NEUTRAL,0.0
SITEL-ACCOUNT RESOLUTION,singular,NEUTRAL,0.0
CSS - H050 REPORT,singular,NEUTRAL,0.0
2-A66Y5,singular,NEUTRAL,0.0
2-RED PENDING,singular,NEUTRAL,0.0
HCL OFFSHORE - SPOKANE,singular,NEUTRAL,0.0
R2PP DISPUTE REPORT,singular,NEUTRAL,0.0
APL-LEASE RETURN,singular,NEUTRAL,0.0
$1000 LETTER AGENT,singular,NEUTRAL,0.0
